"","species","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6","membership","percentage"
"1","1",1,11,0,0,0,0,2,0.92
"2","2",1,9,0,0,0,0,2,0.9
"3","3",6,3,1,0,0,0,1,0.6
"4","4",3,5,0,0,0,0,2,0.62
"5","5",0,0,0,11,1,0,4,0.92
"6","6",0,0,0,0,8,0,5,1
"7","7",0,6,0,4,0,0,2,0.6
"8","8",0,0,0,0,0,11,6,1
"9","9",9,2,3,0,0,0,1,0.64
"10","10",1,0,12,0,0,0,3,0.92
"11","11",0,0,0,0,16,0,5,1
"12","12",0,1,0,11,0,0,4,0.92
"13","13",11,1,1,0,0,0,1,0.85
"14","14",0,0,4,8,0,0,4,0.67
"15","15",0,0,0,0,10,0,5,1
"22","22",0,2,0,7,3,0,4,0.58
"23","23",0,7,0,0,4,0,2,0.64
"24","24",4,9,0,0,0,0,2,0.69
"25","25",0,0,9,0,0,0,3,1
"26","26",4,4,3,1,0,0,1,0.33
"27","27",3,8,0,0,0,0,2,0.73
"28","28",0,0,6,6,0,0,3,0.5
"29","29",0,12,0,0,0,0,2,1
"30","30",6,1,5,0,0,0,1,0.5
"31","31",0,0,0,0,5,6,6,0.55
"32","32",0,6,0,5,0,0,2,0.55
"33","33",7,1,3,0,0,0,1,0.64
"34","34",0,0,0,0,0,11,6,1
"35","35",0,0,5,6,0,0,4,0.55
"36","36",0,0,0,0,10,0,5,1
